Name,Brand,Category,SubCategory,Price,DiscountedPrice,Discount_Amount,Discount_Pct,Price_Band,Qty_Value,Qty_Unit,Standard_Qty,Origin,BreadCrumbs
Premia Badam (Almonds),Premia,Grocery,Dry Fruits,451.0,329.0,122.0,27.05,Upper-Mid (300-700),500.0,g,500.0,India,Grocery > Grocery/Dry Fruits
Premia Badam (Almonds),Premia,Grocery,Dry Fruits,109.0,85.0,24.0,22.02,Budget (<100),100.0,g,100.0,India,Grocery > Grocery/Dry Fruits
Premia Badam (Almonds),Premia,Grocery,Dry Fruits,202.0,175.0,27.0,13.37,Mid (100-300),200.0,g,200.0,India,Grocery > Grocery/Dry Fruits
Nutraj California Almonds (Badam),Nutraj,Grocery,Dry Fruits,599.0,349.0,250.0,41.74,Upper-Mid (300-700),500.0,g,500.0,USA,Grocery > Dry Fruits
Nutraj California Almonds (Badam),Nutraj,Grocery,Dry Fruits,1549.0,659.0,890.0,57.46,Upper-Mid (300-700),1.0,kg,1000.0,USA,Grocery > Dry Fruits
Chana Dal,Unbranded/DMart,Grocery,Dals,49.0,42.0,7.0,14.29,Budget (<100),500.0,g,500.0,India,Grocery > Dals
Chana Dal,Unbranded/DMart,Grocery,Dals,96.0,80.0,16.0,16.67,Budget (<100),1.0,kg,1000.0,India,Grocery > Dals
Rajma White,Unbranded/DMart,Grocery,Pulses,112.0,102.0,10.0,8.93,Mid (100-300),500.0,g,500.0,India,Grocery > Pulses
Rajma Kashmiri Red,Unbranded/DMart,Grocery,Pulses,101.0,81.0,20.0,19.8,Budget (<100),500.0,g,500.0,India,Grocery > Pulses
Premia Mamra Badam,Premia,Grocery,Dry Fruits,634.0,488.0,146.0,23.03,Upper-Mid (300-700),200.0,g,200.0,India,Grocery > Dry Fruits
Tata Sampann Chana Dal,Tata,Grocery,Dals,64.0,49.0,15.0,23.44,Budget (<100),500.0,g,500.0,Not Specified,Grocery > Dals
Tata Sampann Chana Dal,Tata,Grocery,Dals,125.0,112.0,13.0,10.4,Mid (100-300),1.0,kg,1000.0,Not Specified,Grocery > Dals
Rajma Red Small,Unbranded/DMart,Grocery,Pulses,61.0,56.0,5.0,8.2,Budget (<100),500.0,g,500.0,India,Grocery > Pulses
Nutraj Almond,Nutraj,Grocery,Dry Fruits,299.0,175.0,124.0,41.47,Mid (100-300),200.0,g,200.0,Not Specified,Grocery > Dry Fruits
Satyam Rajma Pink,Satyam,Grocery,Pulses,149.0,138.0,11.0,7.38,Mid (100-300),500.0,g,500.0,Not Specified,Grocery > Pulses
KMK Almond Mamra (Badam),KMK,Grocery,Dry Fruits,750.0,575.0,175.0,23.33,Upper-Mid (300-700),200.0,g,200.0,Not Specified,Grocery > Dry Fruits
DMart Healthy Choice Unpolished Chana Dal,DMart Healthy Choice,Grocery,Dals,117.0,94.0,23.0,19.66,Budget (<100),1.0,kg,1000.0,Not Specified,Grocery > Dals
Satyam Rajma Sharmili,Satyam,Grocery,Pulses,129.0,119.0,10.0,7.75,Mid (100-300),500.0,g,500.0,Not Specified,Grocery > Pulses
Satyam Chana Dal,Satyam,Grocery,Dals,77.0,71.0,6.0,7.79,Budget (<100),500.0,g,500.0,Not Specified,Grocery > Dals
Tata Sampann 100% Organic Unpolished Chana Dal,Tata Sampann,Grocery,Dals,190.0,171.0,19.0,10.0,Mid (100-300),1.0,kg,1000.0,Not Specified,Grocery > Dals
KMK Almond American (Badam),Kanji Manji Kothari,Grocery,Dry Fruits,258.0,216.0,42.0,16.28,Mid (100-300),200.0,g,200.0,Not Specified,Grocery > Dry Fruits
Tata Sampann Organic Unpolished Rajma Red,Tata Sampann,Grocery,Pulses,142.0,127.0,15.0,10.56,Mid (100-300),500.0,g,500.0,Not Specified,Grocery > Pulses
DMart Premia Almonds Salted,Premia,Grocery,Dry Fruits,200.0,119.0,81.0,40.5,Mid (100-300),100.0,g,100.0,Not Specified,Grocery > Grocery/Dry Fruits
ProV Select California Almonds,ProV,Grocery,Dry Fruits,749.0,374.0,375.0,50.07,Upper-Mid (300-700),500.0,g,500.0,Not Specified,Grocery > Dry Fruits
ProV Select California Independence,ProV,Grocery,Dry Fruits,1349.0,600.0,749.0,55.52,Upper-Mid (300-700),1.0,kg,1000.0,Not Specified,Grocery > Dry Fruits
Moong Dal,Unbranded/DMart,Grocery,Dals,71.0,60.0,11.0,15.49,Budget (<100),500.0,g,500.0,India,Grocery > Dals
Moong Dal,Unbranded/DMart,Grocery,Dals,139.0,124.0,15.0,10.79,Mid (100-300),1.0,kg,1000.0,India,Grocery > Dals
Nutraj Cashews,Nutraj,Grocery,Dry Fruits,699.0,399.0,300.0,42.92,Upper-Mid (300-700),500.0,g,500.0,Not Specified,Grocery > Dry Fruits
Nutraj Cashews,Nutraj,Grocery,Dry Fruits,299.0,199.0,100.0,33.44,Mid (100-300),200.0,g,200.0,Not Specified,Grocery > Dry Fruits
Premia Regular Kaju (Cashews) - 320,Premia,Grocery,Dry Fruits,121.0,99.0,22.0,18.18,Budget (<100),100.0,g,100.0,Not Specified,Grocery > Grocery/Dry Fruits
Premia Regular Kaju (Cashews) - 320,Premia,Grocery,Dry Fruits,257.0,198.0,59.0,22.96,Mid (100-300),200.0,g,200.0,Not Specified,Grocery > Grocery/Dry Fruits
Premia Regular Kaju (Cashews) - 320,Premia,Grocery,Dry Fruits,595.0,460.0,135.0,22.69,Upper-Mid (300-700),500.0,g,500.0,Not Specified,Grocery > Grocery/Dry Fruits
Moong Dal Chilti,Unbranded/DMart,Grocery,Dals,70.0,58.0,12.0,17.14,Budget (<100),500.0,g,500.0,India,Grocery > Dals
Moong Dal Chilti,Unbranded/DMart,Grocery,Dals,140.0,112.0,28.0,20.0,Mid (100-300),1.0,kg,1000.0,India,Grocery > Dals
Tata Sampann Moong Dal,Tata,Grocery,Dals,175.0,148.0,27.0,15.43,Mid (100-300),1.0,kg,1000.0,Not Specified,Grocery > Dals
Tata Sampann Moong Dal,Tata,Grocery,Dals,88.0,79.0,9.0,10.23,Budget (<100),500.0,g,500.0,Not Specified,Grocery > Dals
Kalbavi Cashews (Kaju),Kalbavi,Grocery,Dry Fruits,650.0,459.0,191.0,29.38,Upper-Mid (300-700),500.0,g,500.0,Not Specified,Grocery > Dry Fruits
Premia Kaju Tukda (Cashews),Premia,Grocery,Dry Fruits,129.0,99.0,30.0,23.26,Budget (<100),100.0,g,100.0,Not Specified,Grocery > Grocery/Dry Fruits
Premia Kaju Tukda (Cashews),Premia,Grocery,Dry Fruits,251.0,195.0,56.0,22.31,Mid (100-300),200.0,g,200.0,India,Grocery > Grocery/Dry Fruits
Premia Kaju Tukda (Cashews),Premia,Grocery,Dry Fruits,594.0,468.0,126.0,21.21,Upper-Mid (300-700),500.0,g,500.0,India,Grocery > Grocery/Dry Fruits
Chowli Big,Unbranded/DMart,Grocery,Pulses,64.0,52.0,12.0,18.75,Budget (<100),500.0,g,500.0,Not Specified,Grocery > Pulses
Chowli Premium,Unbranded/DMart,Grocery,Pulses,82.0,75.0,7.0,8.54,Budget (<100),500.0,g,500.0,Not Specified,Grocery > Pulses
Premia Kaju,Premia,Grocery,Dry Fruits,552.0,409.0,143.0,25.91,Upper-Mid (300-700),500.0,g,500.0,Not Specified,Grocery > Dry Fruits
Chowli Small,Unbranded/DMart,Grocery,Pulses,62.0,52.0,10.0,16.13,Budget (<100),500.0,g,500.0,Not Specified,Grocery > Pulses
Premia Cashew Broken,Premia,Grocery,Dry Fruits,537.0,423.0,114.0,21.23,Upper-Mid (300-700),500.0,g,500.0,Not Specified,Grocery > Dry Fruits
DMart Healthy Choice Unpolished Moong Dal,DMart Healthy Choice,Grocery,Dals,160.0,140.0,20.0,12.5,Mid (100-300),1.0,kg,1000.0,Not Specified,Grocery > Dals
Premia Kaju Special (Cashews),Premia,Grocery,Dry Fruits,140.0,116.0,24.0,17.14,Mid (100-300),100.0,g,100.0,Not Specified,Grocery > Grocery/Dry Fruits
Premia Kaju Special (Cashews),Premia,Grocery,Dry Fruits,278.0,220.0,58.0,20.86,Mid (100-300),200.0,g,200.0,Not Specified,Grocery > Grocery/Dry Fruits
Premia Kaju Special (Cashews),Premia,Grocery,Dry Fruits,646.0,485.0,161.0,24.92,Upper-Mid (300-700),500.0,g,500.0,Not Specified,Grocery > Grocery/Dry Fruits
Kokan Gem Goa Cashew Classic (Kaju),Kokan Gem,Grocery,Dry Fruits,650.0,471.0,179.0,27.54,Upper-Mid (300-700),500.0,g,500.0,Not Specified,Grocery > Dry Fruits
Kokan Gem Goa Cashew Premium (Kaju),Kokan Gem,Grocery,Dry Fruits,750.0,579.0,171.0,22.8,Upper-Mid (300-700),500.0,g,500.0,Not Specified,Grocery > Dry Fruits
Tata Sampann Moong Chilka,TATA,Grocery,Dals,84.0,75.0,9.0,10.71,Budget (<100),500.0,g,500.0,Not Specified,Grocery > Dals
Chowli Red,Unbranded/DMart,Grocery,Pulses,77.0,67.0,10.0,12.99,Budget (<100),500.0,g,500.0,Not Specified,Grocery > Pulses
Satyam Moong Dal,Satyam,Grocery,Dals,109.0,101.0,8.0,7.34,Mid (100-300),500.0,g,500.0,Not Specified,Grocery > Dals
Tata Sampann 100% Organic Unpolished Moong Dal,Tata Sampann,Grocery,Dals,275.0,246.0,29.0,10.55,Mid (100-300),1.0,kg,1000.0,Not Specified,Grocery > Dals
KMK Cashew Nut (Kaju),KMK,Grocery,Dry Fruits,325.0,199.0,126.0,38.77,Mid (100-300),200.0,g,200.0,IngredientsCashews,Grocery > Dry Fruits
Premia Premium Kaju (Cashews) - 210,Premia,Grocery,Dry Fruits,168.0,132.0,36.0,21.43,Mid (100-300),100.0,g,100.0,Not Specified,Grocery > Grocery/Dry Fruits
Premia Premium Kaju (Cashews) - 210,Premia,Grocery,Dry Fruits,341.0,262.0,79.0,23.17,Mid (100-300),200.0,g,200.0,India,Grocery > Grocery/Dry Fruits
Premia Premium Kaju (Cashews) - 210,Premia,Grocery,Dry Fruits,738.0,566.0,172.0,23.31,Upper-Mid (300-700),500.0,g,500.0,Not Specified,Grocery > Grocery/Dry Fruits
24 Mantra Organic Moong Dal,24 Mantra Organic,Grocery,Dals,135.0,110.0,25.0,18.52,Mid (100-300),500.0,g,500.0,Not Specified,Grocery > Dals
Satyam Moong Chilti,Satyam,Grocery,Dals,100.0,93.0,7.0,7.0,Budget (<100),500.0,g,500.0,Not Specified,Grocery > Dals
DMart Premia Cashews Salted,Premia,Grocery,Dry Fruits,215.0,129.0,86.0,40.0,Mid (100-300),100.0,g,100.0,Not Specified,Grocery > Grocery/Dry Fruits
Kokan Gem Goa Cashews Tukda,Kokan Gem,Grocery,Dry Fruits,550.0,479.0,71.0,12.91,Upper-Mid (300-700),500.0,g,500.0,Not Specified,Grocery > Dry Fruits
Satyam Chowla,Satyam,Grocery,Pulses,126.0,117.0,9.0,7.14,Mid (100-300),500.0,g,500.0,Not Specified,Grocery > Pulses
Nutraj Broken Cashew,Nutraj,Grocery,Dry Fruits,499.0,399.0,100.0,20.04,Upper-Mid (300-700),400.0,g,400.0,Not Specified,Grocery > Dry Fruits
Organic Tattva Moong Dal Whole,Organic Tattva,Grocery,Dals,125.0,90.0,35.0,28.0,Budget (<100),500.0,g,500.0,Not Specified,Grocery > Dals
DMart Premia Cashews Black Pepper,Premia,Grocery,Dry Fruits,215.0,129.0,86.0,40.0,Mid (100-300),100.0,g,100.0,Not Specified,Grocery > Grocery/Dry Fruits
ProV Select Cashews,ProV,Grocery,Dry Fruits,849.0,424.0,425.0,50.06,Upper-Mid (300-700),500.0,g,500.0,Not Specified,Grocery > Dry Fruits
Tur Dal Latur,Unbranded/DMart,Grocery,Dals,78.0,63.0,15.0,19.23,Budget (<100),500.0,g,500.0,India,Grocery > Dals
Tur Dal Latur,Unbranded/DMart,Grocery,Dals,157.0,131.0,26.0,16.56,Mid (100-300),1.0,kg,1000.0,India,Grocery > Dals
Tata Sampann Toor Dal,TATA,Grocery,Dals,89.0,80.0,9.0,10.11,Budget (<100),500.0,g,500.0,India,Grocery > Dals
Tata Sampann Toor Dal,TATA,Grocery,Dals,184.0,129.0,55.0,29.89,Mid (100-300),1.0,kg,1000.0,India,Grocery > Dals
Tur Dal Premium Gujarat,Unbranded/DMart,Grocery,Dals,88.0,76.0,12.0,13.64,Budget (<100),500.0,g,500.0,India,Grocery > Dals
Tur Dal Premium Gujarat,Unbranded/DMart,Grocery,Dals,180.0,142.0,38.0,21.11,Mid (100-300),1.0,kg,1000.0,India,Grocery > Dals
Premia Pista Salty (Pistachio),Premia,Grocery,Dry Fruits,184.0,145.0,39.0,21.2,Mid (100-300),100.0,g,100.0,Not Specified,Grocery > Grocery/Dry Fruits
Premia Pista Salty (Pistachio),Premia,Grocery,Dry Fruits,380.0,292.0,88.0,23.16,Mid (100-300),200.0,g,200.0,India,Grocery > Grocery/Dry Fruits
DMart Healthy Choice Unpolished Toor Dal,DMart Healthy Choice,Grocery,Dals,184.0,148.0,36.0,19.57,Mid (100-300),1.0,kg,1000.0,Not Specified,Grocery > Dals
Premia Pista Plain (Pistachios),Premia,Grocery,Dry Fruits,334.0,235.0,99.0,29.64,Mid (100-300),100.0,g,100.0,Not Specified,Grocery > Grocery/Dry Fruits
Tata Sampann 100% Organic Unpolished Toor Dal,Tata Sampann,Grocery,Dals,260.0,234.0,26.0,10.0,Mid (100-300),1.0,kg,1000.0,Not Specified,Grocery > Dals
Nutraj Iranian Pistachios (Pista),Nutraj,Grocery,Dry Fruits,449.0,249.0,200.0,44.54,Mid (100-300),200.0,g,200.0,Not Specified,Grocery > Dry Fruits
Nutraj Premium California Pistachios (Pista),Nutraj,Grocery,Dry Fruits,379.0,239.0,140.0,36.94,Mid (100-300),200.0,g,200.0,Not Specified,Grocery > Dry Fruits
Premia Soyawadi,Premia,Grocery,Pulses,42.0,33.0,9.0,21.43,Budget (<100),200.0,g,200.0,India,Grocery > Pulses
Satyam Tur (Toor) Dal,Satyam,Grocery,Dals,109.0,101.0,8.0,7.34,Mid (100-300),500.0,g,500.0,Not Specified,Grocery > Dals
Nutrela Soya Mini Chunks,Nutrela,Grocery,Pulses,60.0,52.0,8.0,13.33,Budget (<100),200.0,g,200.0,Not Specified,Grocery > Pulses
Organic Tattva Arhar Tur Dal,Organic Tattva,Grocery,Dals,270.0,135.0,135.0,50.0,Mid (100-300),1.0,kg,1000.0,Not Specified,Grocery > Dals
Toor Dal Plain,Unbranded/DMart,Grocery,Dals,750.0,585.0,165.0,22.0,Upper-Mid (300-700),5.0,kg,5000.0,India,Grocery > Dals
Nutrela Soya Chunks,Nutrela,Grocery,Pulses,60.0,52.0,8.0,13.33,Budget (<100),200.0,g,200.0,Not Specified,Grocery > Pulses
Toor Dal Oily,Unbranded/DMart,Grocery,Dals,750.0,588.0,162.0,21.6,Upper-Mid (300-700),5.0,kg,5000.0,India,Grocery > Dals
24 Mantra Organic Tur Dal,24 Mantra,Grocery,Dals,260.0,215.0,45.0,17.31,Mid (100-300),1.0,kg,1000.0,Not Specified,Grocery > Dals
Premia Mini Soya Chunks,Premia,Grocery,Pulses,45.0,38.0,7.0,15.56,Budget (<100),200.0,g,200.0,Not Specified,Grocery > Pulses
Nutrela Soya Granules,Nutrela,Grocery,Pulses,60.0,50.0,10.0,16.67,Budget (<100),200.0,g,200.0,Not Specified,Grocery > Pulses
KMK Pista Magaz,KMK,Grocery,Dry Fruits,540.0,375.0,165.0,30.56,Upper-Mid (300-700),200.0,g,200.0,Not Specified,Grocery > Dry Fruits
Satyam Toor Dal Oily,Satyam,Grocery,Dals,109.0,101.0,8.0,7.34,Mid (100-300),500.0,g,500.0,Not Specified,Grocery > Dals
Carnival Classic Pista Magaz,Carnival,Grocery,Dry Fruits,700.0,560.0,140.0,20.0,Upper-Mid (300-700),250.0,g,250.0,Not Specified,Grocery > Dry Fruits
Premia Soyabean,Premia,Grocery,Pulses,94.0,79.0,15.0,15.96,Budget (<100),500.0,g,500.0,Not Specified,Grocery > Pulses
Carnival Classic California Pistachios,Carnival,Grocery,Dry Fruits,460.0,310.0,150.0,32.61,Upper-Mid (300-700),250.0,g,250.0,Not Specified,Grocery > Dry Fruits
KMK Pista Salted Irani (Pistachios),Kanji Manji Kothari,Grocery,Dry Fruits,319.0,237.0,82.0,25.71,Mid (100-300),200.0,g,200.0,Iran,Grocery > Dry Fruits
Tuwar Whole,Unbranded/DMart,Grocery,Dals,70.0,53.0,17.0,24.29,Budget (<100),500.0,g,500.0,India,Grocery > Dals
Saffola Mealmaker Soya Chunks,Saffola,Grocery,Pulses,60.0,35.0,25.0,41.67,Budget (<100),200.0,g,200.0,Not Specified,Grocery > Pulses
Udid (Urad) Dal,Unbranded/DMart,Grocery,Dals,88.0,73.0,15.0,17.05,Budget (<100),500.0,g,500.0,India,Grocery > Dals
Udid (Urad) Dal,Unbranded/DMart,Grocery,Dals,173.0,140.0,33.0,19.08,Mid (100-300),1.0,kg,1000.0,India,Grocery > Dals
Desi Kabuli Chana,Unbranded/DMart,Grocery,Pulses,95.0,76.0,19.0,20.0,Budget (<100),500.0,g,500.0,India,Grocery > Pulses
Desi Kabuli Chana,Unbranded/DMart,Grocery,Pulses,190.0,159.0,31.0,16.32,Mid (100-300),1.0,kg,1000.0,India,Grocery > Pulses
Udid,Unbranded/DMart,Grocery,Dals,88.0,69.0,19.0,21.59,Budget (<100),500.0,g,500.0,India,Grocery > Dals
Date Crown Fard (Khajur),Crown,Grocery,Dry Fruits,234.0,165.0,69.0,29.49,Mid (100-300),500.0,g,500.0,Not Specified,Grocery > Grocery/Dry Fruits
Tata Sampann Urad Dal,TATA,Grocery,Dals,90.0,75.0,15.0,16.67,Budget (<100),500.0,g,500.0,Not Specified,Grocery > Dals
Tata Sampann Urad Dal,TATA,Grocery,Dals,179.0,152.0,27.0,15.08,Mid (100-300),1.0,kg,1000.0,Not Specified,Grocery > Dals
Emperor Dates - Deseeded Black Dates (Khajur),Emperor,Grocery,Dry Fruits,145.0,130.0,15.0,10.34,Mid (100-300),500.0,g,500.0,Not Specified,Grocery > Grocery/Dry Fruits
Satyam Kabuli Chana,Satyam,Grocery,Pulses,129.0,114.0,15.0,11.63,Mid (100-300),500.0,g,500.0,Not Specified,Grocery > Pulses
Udid (Urad) Dal Chilti,Unbranded/DMart,Grocery,Dals,81.0,67.0,14.0,17.28,Budget (<100),500.0,g,500.0,India,Grocery > Dals
Falcon UAE Dates Seedless (Khajur),Falcon,Grocery,Dry Fruits,190.0,158.0,32.0,16.84,Mid (100-300),500.0,g,500.0,UAE,Grocery > Grocery/Dry Fruits
Premia Red Dried Dates (Kharik),Premia,Grocery,Dry Fruits,51.0,32.0,19.0,37.25,Budget (<100),100.0,g,100.0,Not Specified,Grocery > Grocery/Dry Fruits
Premia Red Dried Dates (Kharik),Premia,Grocery,Dry Fruits,97.0,65.0,32.0,32.99,Budget (<100),200.0,g,200.0,Not Specified,Grocery > Grocery/Dry Fruits
Premia Red Dried Dates (Kharik),Premia,Grocery,Dry Fruits,212.0,165.0,47.0,22.17,Mid (100-300),500.0,g,500.0,Not Specified,Grocery > Grocery/Dry Fruits
Emperor Royal Peacock Seeded Dates (Khajur),Emperor,Grocery,Dry Fruits,125.0,93.0,32.0,25.6,Budget (<100),500.0,g,500.0,Not Specified,Grocery > Grocery/Dry Fruits
Emperor Dates Iranian Muzafati,Emperor,Grocery,Dry Fruits,170.0,133.0,37.0,21.76,Mid (100-300),400.0,g,400.0,Not Specified,Grocery > Dry Fruits
24 Mantra Organic Kabuli Chana,24 Mantra Organic,Grocery,Pulses,145.0,125.0,20.0,13.79,Mid (100-300),500.0,g,500.0,Not Specified,Grocery > Pulses
Date Crown Bumaan Dates,Crown,Grocery,Dry Fruits,140.0,95.0,45.0,32.14,Budget (<100),500.0,g,500.0,Not Specified,Grocery > Grocery/Dry Fruits
Satyam Udid (Urad) Dal,Satyam,Grocery,Dals,123.0,114.0,9.0,7.32,Mid (100-300),500.0,g,500.0,Not Specified,Grocery > Dals
Apis Royal Zahidi Premium Dates,Apis,Grocery,Dry Fruits,125.0,90.0,35.0,28.0,Budget (<100),500.0,g,500.0,Not Specified,Grocery > Dry Fruits
King Solomon Medjoul Natural Dates,King Solomon,Grocery,Dry Fruits,990.0,750.0,240.0,24.24,Premium (700+),500.0,g,500.0,Israel,Grocery > Dry Fruits
Premia Black Dried Dates (Kharik),Premia,Grocery,Dry Fruits,81.0,63.0,18.0,22.22,Budget (<100),200.0,g,200.0,Not Specified,Grocery > Grocery/Dry Fruits
Falcon Safawi Dates,Falcon,Grocery,Dry Fruits,500.0,350.0,150.0,30.0,Upper-Mid (300-700),500.0,g,500.0,Not Specified,Grocery > Dry Fruits
Tata Sampann Organic Unpolished Kabuli Chana,Tata Sampann,Grocery,Pulses,147.0,125.0,22.0,14.97,Mid (100-300),500.0,g,500.0,Not Specified,Grocery > Pulses
Organic Tattva Kabuli Chana,Organic Tattva,Grocery,Pulses,145.0,105.0,40.0,27.59,Mid (100-300),500.0,g,500.0,Not Specified,Grocery > Pulses
Nutraj Dry Dates (Chuara-Khareek),Nutraj,Grocery,Dry Fruits,249.0,159.0,90.0,36.14,Mid (100-300),500.0,g,500.0,Not Specified,Grocery > Dry Fruits
Falcon Aqaba Dates,Falcon,Grocery,Dry Fruits,135.0,105.0,30.0,22.22,Mid (100-300),500.0,g,500.0,Not Specified,Grocery > Grocery/Dry Fruits
King Solomon Oriental Dates,King Solomon,Grocery,Dry Fruits,249.0,124.0,125.0,50.2,Mid (100-300),250.0,g,250.0,IngredientsDates,Grocery > Dry Fruits
Royal Delight Finest Oman Dates,Royal Delight,Grocery,Dry Fruits,249.0,195.0,54.0,21.69,Mid (100-300),400.0,g,400.0,Not Specified,Grocery > Dry Fruits
Shamim Iranian Wet Dates,Shamim,Grocery,Dry Fruits,200.0,128.0,72.0,36.0,Mid (100-300),400.0,g,400.0,Not Specified,Grocery > Dry Fruits
Emperor Premium Dates Zahidi,Unbranded/DMart,Grocery,Dry Fruits,150.0,113.0,37.0,24.67,Mid (100-300),500.0,g,500.0,Not Specified,Grocery > Dry Fruits
Tata Sampann Organic Unpolished Urad Dal,Tata Sampann,Grocery,Dals,142.0,115.0,27.0,19.01,Mid (100-300),500.0,g,500.0,Not Specified,Grocery > Dals
Falcon UAE Dates Seeded,Falcon,Grocery,Dry Fruits,150.0,119.0,31.0,20.67,Mid (100-300),500.0,g,500.0,Not Specified,Grocery > Grocery/Dry Fruits
Organic Tattva Urad Dal White Split,Organic Tattva,Grocery,Dals,145.0,97.0,48.0,33.1,Budget (<100),500.0,g,500.0,Not Specified,Grocery > Dals
Azmah Dates,Candor,Grocery,Dry Fruits,625.0,464.0,161.0,25.76,Upper-Mid (300-700),500.0,g,500.0,Not Specified,Grocery > Dry Fruits
Apis Premium Seeded Dates,Unbranded/DMart,Grocery,Dry Fruits,120.0,60.0,60.0,50.0,Budget (<100),500.0,g,500.0,India,Grocery > Dry Fruits
Royal Delight Finest Ajwa Dates,Royal Delight,Grocery,Dry Fruits,549.0,390.0,159.0,28.96,Upper-Mid (300-700),250.0,g,250.0,Not Specified,Grocery > Dry Fruits
Organic Tattva Urad Dal Whole White,Organic Tattva,Grocery,Dals,145.0,99.0,46.0,31.72,Budget (<100),500.0,g,500.0,Not Specified,Grocery > Dals
Royal Delight Finest Mabroom Dates,Royal Delight,Grocery,Dry Fruits,425.0,280.0,145.0,34.12,Mid (100-300),250.0,g,250.0,Not Specified,Grocery > Dry Fruits
Royal Delight Finest Safavi Dates,Royal Delight,Grocery,Dry Fruits,349.0,235.0,114.0,32.66,Mid (100-300),250.0,g,250.0,Not Specified,Grocery > Dry Fruits
Masoor Dal,Unbranded/DMart,Grocery,Dals,68.0,58.0,10.0,14.71,Budget (<100),500.0,g,500.0,India,Grocery > Dals
Masoor Dal,Unbranded/DMart,Grocery,Dals,133.0,113.0,20.0,15.04,Mid (100-300),1.0,kg,1000.0,India,Grocery > Dals
Premia Kismis Indian (Raisins),Premia,Grocery,Dry Fruits,42.0,33.0,9.0,21.43,Budget (<100),100.0,g,100.0,Not Specified,Grocery > Grocery/Dry Fruits
Premia Kismis Indian (Raisins),Premia,Grocery,Dry Fruits,81.0,63.0,18.0,22.22,Budget (<100),200.0,g,200.0,India,Grocery > Grocery/Dry Fruits
Premia Kismis Indian (Raisins),Premia,Grocery,Dry Fruits,186.0,146.0,40.0,21.51,Mid (100-300),500.0,g,500.0,India,Grocery > Grocery/Dry Fruits
Chana Small,Unbranded/DMart,Grocery,Pulses,94.0,81.0,13.0,13.83,Budget (<100),1.0,kg,1000.0,India,Grocery > Pulses
Chana Small,Unbranded/DMart,Grocery,Pulses,48.0,42.0,6.0,12.5,Budget (<100),500.0,g,500.0,India,Grocery > Pulses
Chana Big,Unbranded/DMart,Grocery,Pulses,73.0,61.0,12.0,16.44,Budget (<100),500.0,g,500.0,India,Grocery > Pulses
Tata Sampann Masoor Dal,Tata,Grocery,Dals,86.0,72.0,14.0,16.28,Budget (<100),500.0,g,500.0,Not Specified,Grocery > Dals
Tata Sampann Masoor Dal,Tata,Grocery,Dals,170.0,145.0,25.0,14.71,Mid (100-300),1.0,kg,1000.0,Not Specified,Grocery > Dals
Premia Kismis Black (Raisins),Premia,Grocery,Dry Fruits,60.0,44.0,16.0,26.67,Budget (<100),100.0,g,100.0,India,Grocery > Grocery/Dry Fruits
Premia Kismis Black (Raisins),Premia,Grocery,Dry Fruits,119.0,91.0,28.0,23.53,Budget (<100),200.0,g,200.0,India,Grocery > Grocery/Dry Fruits
Nutraj Raisins - Kishmish,Nutraj,Grocery,Dry Fruits,299.0,169.0,130.0,43.48,Mid (100-300),500.0,g,500.0,Not Specified,Grocery > Dry Fruits
Chana Green,Unbranded/DMart,Grocery,Pulses,144.0,118.0,26.0,18.06,Mid (100-300),500.0,g,500.0,India,Grocery > Pulses
Premia Kismis Black Seedless,Premia,Grocery,Dry Fruits,47.0,34.0,13.0,27.66,Budget (<100),100.0,g,100.0,Not Specified,Grocery > Dry Fruits
Satyam Masur Dal,Satyam,Grocery,Dals,93.0,86.0,7.0,7.53,Budget (<100),500.0,g,500.0,Not Specified,Grocery > Dals
Mahafruit Premium Quality Kishmish (Raisins),Mahafruit,Grocery,Dry Fruits,95.0,65.0,30.0,31.58,Budget (<100),200.0,g,200.0,Not Specified,Grocery > Dry Fruits
Mahafruit Premium Quality Kishmish (Raisins),Mahafruit,Grocery,Dry Fruits,215.0,149.0,66.0,30.7,Mid (100-300),500.0,g,500.0,Not Specified,Grocery > Dry Fruits
Premia Kismis Selected (Raisins),Premia,Grocery,Dry Fruits,73.0,54.0,19.0,26.03,Budget (<100),100.0,g,100.0,Not Specified,Grocery > Grocery/Dry Fruits
Premia Kismis Selected (Raisins),Premia,Grocery,Dry Fruits,148.0,100.0,48.0,32.43,Mid (100-300),200.0,g,200.0,India,Grocery > Grocery/Dry Fruits
Satyam Chana Mosambi,Satyam,Grocery,Pulses,90.0,83.0,7.0,7.78,Budget (<100),500.0,g,500.0,Not Specified,Grocery > Pulses
KMK Black Raisins Seedless (Kismis),Kanji Manji Kothari,Grocery,Dry Fruits,150.0,94.0,56.0,37.33,Budget (<100),200.0,g,200.0,Not Specified,Grocery > Dry Fruits
KMK Green Raisins Afghan (Kismis),Kanji Manji Kothari,Grocery,Dry Fruits,215.0,124.0,91.0,42.33,Mid (100-300),200.0,g,200.0,Not Specified,Grocery > Dry Fruits
Satyam Chana Small,Satyam,Grocery,Pulses,67.0,62.0,5.0,7.46,Budget (<100),500.0,g,500.0,Not Specified,Grocery > Pulses
Organic Tattva Kala Chana,Organic Tattva,Grocery,Pulses,85.0,59.0,26.0,30.59,Budget (<100),500.0,g,500.0,Not Specified,Grocery > Pulses
